 ID,Date,Water Level / Niveau d'eau (m),Grade,Symbol / Symbole,QA/QC,Discharge / Débit (cms),Grade,Symbol / Symbole,QA/QC
10AA001,2023-05-28T00:00:00-08:00,5.068,,,1,1530,,,1
10AA001,2023-05-28T00:05:00-08:00,5.071,,,1,1530,,,1
10AA001,2023-05-28T00:10:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T00:15:00-08:00,5.064,,,1,1530,,,1
10AA001,2023-05-28T00:20:00-08:00,5.067,,,1,1530,,,1
10AA001,2023-05-28T00:25:00-08:00,5.067,,,1,1530,,,1
10AA001,2023-05-28T00:30:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T00:35:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T00:40:00-08:00,5.068,,,1,1530,,,1
10AA001,2023-05-28T00:45:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T00:50:00-08:00,5.064,,,1,1530,,,1
10AA001,2023-05-28T00:55:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T01:00:00-08:00,5.069,,,1,1530,,,1
10AA001,2023-05-28T01:05:00-08:00,5.067,,,1,1530,,,1
10AA001,2023-05-28T01:10:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T01:15:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T01:20:00-08:00,5.067,,,1,1530,,,1
10AA001,2023-05-28T01:25:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T01:30:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T01:35:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T01:40:00-08:00,5.068,,,1,1530,,,1
10AA001,2023-05-28T01:45:00-08:00,5.063,,,1,1530,,,1
10AA001,2023-05-28T01:50:00-08:00,5.068,,,1,1530,,,1
10AA001,2023-05-28T01:55:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T02:00:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T02:05:00-08:00,5.064,,,1,1530,,,1
10AA001,2023-05-28T02:10:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T02:15:00-08:00,5.066,,,1,1530,,,1
10AA001,2023-05-28T02:20:00-08:00,5.062,,,1,1530,,,1
10AA001,2023-05-28T02:25:00-08:00,5.063,,,1,1530,,,1
10AA001,2023-05-28T02:30:00-08:00,5.064,,,1,1530,,,1
10AA001,2023-05-28T02:35:00-08:00,5.064,,,1,1530,,,1
10AA001,2023-05-28T02:40:00-08:00,5.062,,,1,1530,,,1
10AA001,2023-05-28T02:45:00-08:00,5.061,,,1,1530,,,1
10AA001,2023-05-28T02:50:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T02:55:00-08:00,5.060,,,1,1530,,,1
10AA001,2023-05-28T03:00:00-08:00,5.061,,,1,1530,,,1
10AA001,2023-05-28T03:05:00-08:00,5.062,,,1,1530,,,1
10AA001,2023-05-28T03:10:00-08:00,5.061,,,1,1530,,,1
10AA001,2023-05-28T03:15:00-08:00,5.062,,,1,1530,,,1
10AA001,2023-05-28T03:20:00-08:00,5.065,,,1,1530,,,1
10AA001,2023-05-28T03:25:00-08:00,5.061,,,1,1530,,,1
10AA001,2023-05-28T03:30:00-08:00,5.061,,,1,1530,,,1
10AA001,2023-05-28T03:35:00-08:00,5.058,,,1,1530,,,1
10AA001,2023-05-28T03:40:00-08:00,5.059,,,1,1530,,,1
10AA001,2023-05-28T03:45:00-08:00,5.060,,,1,1530,,,1
10AA001,2023-05-28T03:50:00-08:00,5.056,,,1,1530,,,1
10AA001,2023-05-28T03:55:00-08:00,5.060,,,1,1530,,,1
10AA001,2023-05-28T04:00:00-08:00,5.057,,,1,1530,,,1
10AA001,2023-05-28T04:05:00-08:00,5.061,,,1,1530,,,1
10AA001,2023-05-28T04:10:00-08:00,5.057,,,1,1530,,,1
10AA001,2023-05-28T04:15:00-08:00,5.058,,,1,1530,,,1
10AA001,2023-05-28T04:20:00-08:00,5.060,,,1,1530,,,1
10AA001,2023-05-28T04:25:00-08:00,5.057,,,1,1530,,,1
10AA001,2023-05-28T04:30:00-08:00,5.056,,,1,1530,,,1
10AA001,2023-05-28T04:35:00-08:00,5.057,,,1,1530,,,1
