 ID,Date,Water Level / Niveau d'eau (m),Grade,Symbol / Symbole,QA/QC,Discharge / Débit (cms),Grade,Symbol / Symbole,QA/QC
10AD002,2023-05-31T00:00:00-08:00,0.977,,,1,94.3,,,1
10AD002,2023-05-31T00:05:00-08:00,0.996,,,1,97.4,,,1
10AD002,2023-05-31T00:10:00-08:00,0.987,,,1,95.9,,,1
10AD002,2023-05-31T00:15:00-08:00,0.987,,,1,95.9,,,1
10AD002,2023-05-31T00:20:00-08:00,0.993,,,1,96.9,,,1
10AD002,2023-05-31T00:25:00-08:00,0.985,,,1,95.6,,,1
10AD002,2023-05-31T00:30:00-08:00,0.986,,,1,95.7,,,1
10AD002,2023-05-31T00:35:00-08:00,0.983,,,1,95.2,,,1
10AD002,2023-05-31T00:40:00-08:00,0.976,,,1,94.1,,,1
10AD002,2023-05-31T00:45:00-08:00,0.990,,,1,96.4,,,1
10AD002,2023-05-31T00:50:00-08:00,0.984,,,1,95.4,,,1
10AD002,2023-05-31T00:55:00-08:00,0.984,,,1,95.4,,,1
10AD002,2023-05-31T01:00:00-08:00,0.979,,,1,94.6,,,1
10AD002,2023-05-31T01:05:00-08:00,0.972,,,1,93.4,,,1
10AD002,2023-05-31T01:10:00-08:00,0.988,,,1,96.1,,,1
10AD002,2023-05-31T01:15:00-08:00,0.992,,,1,96.7,,,1
10AD002,2023-05-31T01:20:00-08:00,0.972,,,1,93.4,,,1
10AD002,2023-05-31T01:25:00-08:00,0.974,,,1,93.8,,,1
10AD002,2023-05-31T01:30:00-08:00,0.977,,,1,94.3,,,1
10AD002,2023-05-31T01:35:00-08:00,0.987,,,1,95.9,,,1
10AD002,2023-05-31T01:40:00-08:00,0.988,,,1,96.1,,,1
10AD002,2023-05-31T01:45:00-08:00,0.984,,,1,95.4,,,1
10AD002,2023-05-31T01:50:00-08:00,0.995,,,1,97.2,,,1
10AD002,2023-05-31T01:55:00-08:00,0.989,,,1,96.2,,,1
10AD002,2023-05-31T02:00:00-08:00,0.984,,,1,95.4,,,1
10AD002,2023-05-31T02:05:00-08:00,0.977,,,1,94.3,,,1
